
 Artist Name: "Lady Gaga"	 Stream: 41627044
 Artist Name: DaBaby	 Stream: 36899304
 Artist Name: "The Weeknd"	 Stream: 36790462
 Artist Name: "SAINt JHN"	 Stream: 31501096
 Artist Name: Powfu	 Stream: 27032847
 Artist Name: Drake	 Stream: 25887943
 Artist Name: "THE SCOTTS"	 Stream: 24289864
 Artist Name: "Dua Lipa"	 Stream: 22476417
 Artist Name: "Ariana Grande"	 Stream: 21423623
 Artist Name: 6ix9ine	 Stream: 21143946
 Artist Name: "Tones And I"	 Stream: 20687583
 Artist Name: "Lil Mosey"	 Stream: 19804629
 Artist Name: "Surf Mesa"	 Stream: 19322430
 Artist Name: "Roddy Ricch"	 Stream: 19087768
 Artist Name: "Dua Lipa"	 Stream: 18888693
 Artist Name: BENEE	 Stream: 18000520
 Artist Name: "Justin Bieber"	 Stream: 15911389
 Artist Name: "Trevor Daniel"	 Stream: 15272835
 Artist Name: StaySolidRocky	 Stream: 15064252
 Artist Name: Surfaces	 Stream: 14931455
 Artist Name: "Megan Thee Stallion"	 Stream: 14746427
 Artist Name: "Lewis Capaldi"	 Stream: 14707349
 Artist Name: "Doja Cat"	 Stream: 14700722
 Artist Name: "Harry Styles"	 Stream: 14147420
 Artist Name: "Post Malone"	 Stream: 13829039
 Artist Name: "Melanie Martinez"	 Stream: 13438336
 Artist Name: "Jack Harlow"	 Stream: 13383276
 Artist Name: "Travis Scott"	 Stream: 13342664
 Artist Name: "Bad Bunny"	 Stream: 13283095
 Artist Name: "Bad Bunny"	 Stream: 13236099
 Artist Name: "Doja Cat"	 Stream: 12977601
 Artist Name: "Doja Cat"	 Stream: 12897194
 Artist Name: "Arizona Zervas"	 Stream: 12855093
 Artist Name: Marshmello	 Stream: 12668175
 Artist Name: "Travis Scott"	 Stream: 12561829
 Artist Name: "KAROL G"	 Stream: 12438430
 Artist Name: Topic	 Stream: 12330368
 Artist Name: Future	 Stream: 12306604
 Artist Name: "Travis Scott"	 Stream: 11995805
 Artist Name: "Harry Styles"	 Stream: 11439997
 Artist Name: "Lewis Capaldi"	 Stream: 11341806
 Artist Name: "Don Toliver"	 Stream: 11023835
 Artist Name: "Maroon 5"	 Stream: 10805684
 Artist Name: "Black Eyed Peas"	 Stream: 10531095
 Artist Name: "Billie Eilish"	 Stream: 10503854
 Artist Name: "J Balvin"	 Stream: 10502955
 Artist Name: "Shawn Mendes"	 Stream: 10388637
